,Period of Holding
870,30 days 00:00:00.000000000
871,14 days 00:00:00.000000000
872,14 days 00:00:00.000000000
873,31 days 00:00:00.000000000
874,33 days 00:00:00.000000000
875,18 days 00:00:00.000000000
876,28 days 00:00:00.000000000
877,35 days 00:00:00.000000000
878,29 days 00:00:00.000000000
879,30 days 00:00:00.000000000
880,30 days 00:00:00.000000000
881,12 days 00:00:00.000000000
882,33 days 00:00:00.000000000
883,32 days 00:00:00.000000000
884,7 days 00:00:00.000000000
885,28 days 00:00:00.000000000
886,36 days 00:00:00.000000000
887,35 days 00:00:00.000000000
888,29 days 00:00:00.000000000
889,13 days 00:00:00.000000000
890,33 days 00:00:00.000000000
891,30 days 00:00:00.000000000
892,34 days 00:00:00.000000000
893,33 days 00:00:00.000000000
894,33 days 00:00:00.000000000
895,33 days 00:00:00.000000000
896,25 days 00:00:00.000000000
897,19 days 00:00:00.000000000
898,31 days 00:00:00.000000000
899,30 days 00:00:00.000000000
900,30 days 00:00:00.000000000
901,8 days 00:00:00.000000000
902,33 days 00:00:00.000000000
903,35 days 00:00:00.000000000
904,34 days 00:00:00.000000000
905,13 days 00:00:00.000000000
906,34 days 00:00:00.000000000
907,94 days 00:00:00.000000000
908,31 days 00:00:00.000000000
909,31 days 00:00:00.000000000
910,35 days 00:00:00.000000000
911,17 days 00:00:00.000000000
912,35 days 00:00:00.000000000
913,15 days 00:00:00.000000000
914,32 days 00:00:00.000000000
915,8 days 00:00:00.000000000
916,34 days 00:00:00.000000000
917,35 days 00:00:00.000000000
918,35 days 00:00:00.000000000
919,35 days 00:00:00.000000000
920,17 days 00:00:00.000000000
921,35 days 00:00:00.000000000
922,35 days 00:00:00.000000000
923,97 days 00:00:00.000000000
924,34 days 00:00:00.000000000
925,38 days 00:00:00.000000000
926,94 days 00:00:00.000000000
927,38 days 00:00:00.000000000
928,8 days 00:00:00.000000000
929,34 days 00:00:00.000000000
930,33 days 00:00:00.000000000
931,35 days 00:00:00.000000000
932,35 days 00:00:00.000000000
933,19 days 00:00:00.000000000
934,8 days 00:00:00.000000000
935,13 days 00:00:00.000000000
936,32 days 00:00:00.000000000
937,31 days 00:00:00.000000000
938,13 days 00:00:00.000000000
939,35 days 00:00:00.000000000
940,10 days 00:00:00.000000000
941,31 days 00:00:00.000000000
942,31 days 00:00:00.000000000
943,8 days 00:00:00.000000000
944,33 days 00:00:00.000000000
945,19 days 00:00:00.000000000
946,8 days 00:00:00.000000000
947,14 days 00:00:00.000000000
948,31 days 00:00:00.000000000
949,1 days 00:00:00.000000000
950,31 days 00:00:00.000000000
951,2 days 00:00:00.000000000
952,21 days 00:00:00.000000000
953,34 days 00:00:00.000000000
954,14 days 00:00:00.000000000
955,1 days 00:00:00.000000000
956,35 days 00:00:00.000000000
957,33 days 00:00:00.000000000
958,33 days 00:00:00.000000000
959,1 days 00:00:00.000000000
960,1 days 00:00:00.000000000
961,1 days 00:00:00.000000000
962,1 days 00:00:00.000000000
963,1 days 00:00:00.000000000
964,1 days 00:00:00.000000000
965,4 days 00:00:00.000000000
966,1 days 00:00:00.000000000
967,3 days 00:00:00.000000000
968,30 days 00:00:00.000000000
969,30 days 00:00:00.000000000
970,6 days 00:00:00.000000000
971,34 days 00:00:00.000000000
972,34 days 00:00:00.000000000
973,34 days 00:00:00.000000000
974,34 days 00:00:00.000000000
975,9 days 00:00:00.000000000
976,1 days 00:00:00.000000000
977,6 days 00:00:00.000000000
978,37 days 00:00:00.000000000
979,1 days 00:00:00.000000000
980,1 days 00:00:00.000000000
981,20 days 00:00:00.000000000
982,12 days 00:00:00.000000000
983,20 days 00:00:00.000000000
984,1 days 00:00:00.000000000
985,1 days 00:00:00.000000000
986,1 days 00:00:00.000000000
987,14 days 00:00:00.000000000
988,12 days 00:00:00.000000000
989,8 days 00:00:00.000000000
990,32 days 00:00:00.000000000
991,3 days 00:00:00.000000000
992,31 days 00:00:00.000000000
993,1 days 00:00:00.000000000
994,8 days 00:00:00.000000000
995,1 days 00:00:00.000000000
996,9 days 00:00:00.000000000
997,31 days 00:00:00.000000000
998,1 days 00:00:00.000000000
999,10 days 00:00:00.000000000
1000,1 days 00:00:00.000000000
1001,-6 days +00:00:00.000000000
1002,34 days 00:00:00.000000000
1003,1 days 00:00:00.000000000
1004,11 days 00:00:00.000000000
1005,6 days 00:00:00.000000000
1006,1 days 00:00:00.000000000
1007,1 days 00:00:00.000000000
1008,11 days 00:00:00.000000000
1009,6 days 00:00:00.000000000
1010,32 days 00:00:00.000000000
1011,4 days 00:00:00.000000000
1012,4 days 00:00:00.000000000
1013,31 days 00:00:00.000000000
1014,10 days 00:00:00.000000000
1015,1 days 00:00:00.000000000
1016,7 days 00:00:00.000000000
1017,15 days 00:00:00.000000000
1018,1 days 00:00:00.000000000
1019,29 days 00:00:00.000000000
1020,34 days 00:00:00.000000000
1021,6 days 00:00:00.000000000
1022,1 days 00:00:00.000000000
1023,1 days 00:00:00.000000000
1024,35 days 00:00:00.000000000
1025,6 days 00:00:00.000000000
1026,14 days 00:00:00.000000000
1027,14 days 00:00:00.000000000
1028,20 days 00:00:00.000000000
1029,3 days 00:00:00.000000000
1030,3 days 00:00:00.000000000
1031,17 days 00:00:00.000000000
1032,25 days 00:00:00.000000000
1033,28 days 00:00:00.000000000
1034,32 days 00:00:00.000000000
1035,1 days 00:00:00.000000000
1036,1 days 00:00:00.000000000
1037,14 days 00:00:00.000000000
1038,34 days 00:00:00.000000000
1039,34 days 00:00:00.000000000
1040,34 days 00:00:00.000000000
1041,1 days 00:00:00.000000000
1042,23 days 00:00:00.000000000
1043,1 days 00:00:00.000000000
1044,30 days 00:00:00.000000000
1045,21 days 00:00:00.000000000
1046,1 days 00:00:00.000000000
1047,1 days 00:00:00.000000000
1048,15 days 00:00:00.000000000
1049,36 days 00:00:00.000000000
1050,9 days 00:00:00.000000000
1051,34 days 00:00:00.000000000
1052,21 days 00:00:00.000000000
1053,34 days 00:00:00.000000000
1054,3 days 00:00:00.000000000
1055,11 days 00:00:00.000000000
1056,3 days 00:00:00.000000000
1057,34 days 00:00:00.000000000
1058,1 days 00:00:00.000000000
1059,1 days 00:00:00.000000000
1060,51 days 00:00:00.000000000
1061,1 days 00:00:00.000000000
1062,1 days 00:00:00.000000000
1063,1 days 00:00:00.000000000
1064,13 days 00:00:00.000000000
1065,33 days 00:00:00.000000000
1066,1 days 00:00:00.000000000
1067,4 days 00:00:00.000000000
1068,35 days 00:00:00.000000000
1069,3 days 00:00:00.000000000
1070,17 days 00:00:00.000000000
1071,3 days 00:00:00.000000000
1072,17 days 00:00:00.000000000
1073,14 days 00:00:00.000000000
1074,1 days 00:00:00.000000000
1075,1 days 00:00:00.000000000
1076,34 days 00:00:00.000000000
1077,1 days 00:00:00.000000000
1078,1 days 00:00:00.000000000
1079,3 days 00:00:00.000000000
1080,4 days 00:00:00.000000000
1081,35 days 00:00:00.000000000
1082,3 days 00:00:00.000000000
1083,3 days 00:00:00.000000000
1084,4 days 00:00:00.000000000
1085,1 days 00:00:00.000000000
1086,1 days 00:00:00.000000000
1087,1 days 00:00:00.000000000
1088,7 days 00:00:00.000000000
1089,1 days 00:00:00.000000000
1090,1 days 00:00:00.000000000
1091,1 days 00:00:00.000000000
1092,9 days 00:00:00.000000000
1093,33 days 00:00:00.000000000
1094,1 days 00:00:00.000000000
1095,1 days 00:00:00.000000000
1096,1 days 00:00:00.000000000
1097,1 days 00:00:00.000000000
1098,2 days 00:00:00.000000000
1099,1 days 00:00:00.000000000
1100,1 days 00:00:00.000000000
1101,35 days 00:00:00.000000000
1102,13 days 00:00:00.000000000
1103,4 days 00:00:00.000000000
1104,3 days 00:00:00.000000000
1105,3 days 00:00:00.000000000
1106,3 days 00:00:00.000000000
1107,1 days 00:00:00.000000000
1108,1 days 00:00:00.000000000
1109,1 days 00:00:00.000000000
1110,1 days 00:00:00.000000000
1111,2 days 00:00:00.000000000
1112,1 days 00:00:00.000000000
1113,1 days 00:00:00.000000000
1114,1 days 00:00:00.000000000
1115,2 days 00:00:00.000000000
1116,1 days 00:00:00.000000000
1117,1 days 00:00:00.000000000
1118,19 days 00:00:00.000000000
1119,7 days 00:00:00.000000000
1120,1 days 00:00:00.000000000
1121,1 days 00:00:00.000000000
1122,1 days 00:00:00.000000000
1123,36 days 00:00:00.000000000
1124,3 days 00:00:00.000000000
1125,1 days 00:00:00.000000000
1126,1 days 00:00:00.000000000
1127,4 days 00:00:00.000000000
1128,1 days 00:00:00.000000000
1129,4 days 00:00:00.000000000
1130,35 days 00:00:00.000000000
1131,39 days 00:00:00.000000000
1132,3 days 00:00:00.000000000
1133,4 days 00:00:00.000000000
1134,4 days 00:00:00.000000000
1135,35 days 00:00:00.000000000
1136,35 days 00:00:00.000000000
1137,1 days 00:00:00.000000000
1138,2 days 00:00:00.000000000
1139,8 days 00:00:00.000000000
1140,8 days 00:00:00.000000000
1141,34 days 00:00:00.000000000
1142,1 days 00:00:00.000000000
1143,1 days 00:00:00.000000000
1144,1 days 00:00:00.000000000
1145,1 days 00:00:00.000000000
1146,7 days 00:00:00.000000000
1147,33 days 00:00:00.000000000
1148,33 days 00:00:00.000000000
1149,12 days 00:00:00.000000000
1150,1 days 00:00:00.000000000
1151,1 days 00:00:00.000000000
1152,6 days 00:00:00.000000000
1153,1 days 00:00:00.000000000
1154,1 days 00:00:00.000000000
1155,1 days 00:00:00.000000000
1156,15 days 00:00:00.000000000
1157,34 days 00:00:00.000000000
1158,1 days 00:00:00.000000000
1159,1 days 00:00:00.000000000
1160,1 days 00:00:00.000000000
1161,1 days 00:00:00.000000000
1162,11 days 00:00:00.000000000
1163,17 days 00:00:00.000000000
1164,3 days 00:00:00.000000000
1165,3 days 00:00:00.000000000
1166,3 days 00:00:00.000000000
1167,3 days 00:00:00.000000000
1168,3 days 00:00:00.000000000
1169,1 days 00:00:00.000000000
1170,1 days 00:00:00.000000000
1171,1 days 00:00:00.000000000
1172,1 days 00:00:00.000000000
1173,6 days 00:00:00.000000000
1174,1 days 00:00:00.000000000
1175,1 days 00:00:00.000000000
1176,1 days 00:00:00.000000000
1177,1 days 00:00:00.000000000
1178,1 days 00:00:00.000000000
1179,1 days 00:00:00.000000000
1180,1 days 00:00:00.000000000
1181,1 days 00:00:00.000000000
1182,7 days 00:00:00.000000000
1183,1 days 00:00:00.000000000
1184,1 days 00:00:00.000000000
1185,1 days 00:00:00.000000000
1186,1 days 00:00:00.000000000
1187,1 days 00:00:00.000000000
1188,3 days 00:00:00.000000000
1189,3 days 00:00:00.000000000
1190,3 days 00:00:00.000000000
1191,11 days 00:00:00.000000000
1192,3 days 00:00:00.000000000
1193,3 days 00:00:00.000000000
1194,28 days 00:00:00.000000000
1195,3 days 00:00:00.000000000
1196,1 days 00:00:00.000000000
1197,10 days 00:00:00.000000000
1198,32 days 00:00:00.000000000
1199,1 days 00:00:00.000000000
1200,1 days 00:00:00.000000000
1201,7 days 00:00:00.000000000
1202,7 days 00:00:00.000000000
1203,1 days 00:00:00.000000000
1204,1 days 00:00:00.000000000
1205,1 days 00:00:00.000000000
1206,1 days 00:00:00.000000000
1207,1 days 00:00:00.000000000
1208,1 days 00:00:00.000000000
1209,8 days 00:00:00.000000000
1210,8 days 00:00:00.000000000
1211,7 days 00:00:00.000000000
1212,23 days 00:00:00.000000000
1213,1 days 00:00:00.000000000
1214,32 days 00:00:00.000000000
1215,34 days 00:00:00.000000000
1216,1 days 00:00:00.000000000
1217,7 days 00:00:00.000000000
1218,4 days 00:00:00.000000000
1219,15 days 00:00:00.000000000
1220,1 days 00:00:00.000000000
1221,1 days 00:00:00.000000000
1222,60 days 00:00:00.000000000
1223,3 days 00:00:00.000000000
1224,3 days 00:00:00.000000000
1225,1 days 00:00:00.000000000
1226,1 days 00:00:00.000000000
1227,1 days 00:00:00.000000000
1228,1 days 00:00:00.000000000
1229,15 days 00:00:00.000000000
1230,1 days 00:00:00.000000000
1231,7 days 00:00:00.000000000
1232,13 days 00:00:00.000000000
1233,1 days 00:00:00.000000000
1234,1 days 00:00:00.000000000
1235,1 days 00:00:00.000000000
1236,7 days 00:00:00.000000000
1237,1 days 00:00:00.000000000
1238,1 days 00:00:00.000000000
1239,1 days 00:00:00.000000000
1240,2 days 00:00:00.000000000
1241,1 days 00:00:00.000000000
1242,1 days 00:00:00.000000000
1243,2 days 00:00:00.000000000
1244,1 days 00:00:00.000000000
1245,32 days 00:00:00.000000000
1246,19 days 00:00:00.000000000
1247,29 days 00:00:00.000000000
1248,29 days 00:00:00.000000000
1249,1 days 00:00:00.000000000
1250,4 days 00:00:00.000000000
1251,6 days 00:00:00.000000000
1252,6 days 00:00:00.000000000
1253,5 days 00:00:00.000000000
1254,3 days 00:00:00.000000000
1255,7 days 00:00:00.000000000
1256,30 days 00:00:00.000000000
1257,2 days 00:00:00.000000000
1258,2 days 00:00:00.000000000
1259,2 days 00:00:00.000000000
1260,92 days 00:00:00.000000000
1261,30 days 00:00:00.000000000
1262,3 days 00:00:00.000000000
1263,2 days 00:00:00.000000000
1264,9 days 00:00:00.000000000
1265,1 days 00:00:00.000000000
1266,1 days 00:00:00.000000000
1267,1 days 00:00:00.000000000
1268,13 days 00:00:00.000000000
1269,30 days 00:00:00.000000000
1270,1 days 00:00:00.000000000
1271,1 days 00:00:00.000000000
1272,1 days 00:00:00.000000000
1273,1 days 00:00:00.000000000
1274,1 days 00:00:00.000000000
1275,2 days 00:00:00.000000000
1276,34 days 00:00:00.000000000
1277,13 days 00:00:00.000000000
1278,1 days 00:00:00.000000000
1279,1 days 00:00:00.000000000
1280,1 days 00:00:00.000000000
1281,31 days 00:00:00.000000000
1282,3 days 00:00:00.000000000
1283,3 days 00:00:00.000000000
1284,1 days 00:00:00.000000000
1285,3 days 00:00:00.000000000
1286,3 days 00:00:00.000000000
1287,32 days 00:00:00.000000000
1288,30 days 00:00:00.000000000
1289,1 days 00:00:00.000000000
1290,2 days 00:00:00.000000000
1291,7 days 00:00:00.000000000
1292,15 days 00:00:00.000000000
1293,8 days 00:00:00.000000000
1294,8 days 00:00:00.000000000
1295,1 days 00:00:00.000000000
1296,1 days 00:00:00.000000000
1297,1 days 00:00:00.000000000
1298,1 days 00:00:00.000000000
1299,13 days 00:00:00.000000000
1300,1 days 00:00:00.000000000
1301,1 days 00:00:00.000000000
1302,61 days 00:00:00.000000000
1303,2 days 00:00:00.000000000
1304,4 days 00:00:00.000000000
1305,1 days 00:00:00.000000000
1306,1 days 00:00:00.000000000
1307,5 days 00:00:00.000000000
1308,4 days 00:00:00.000000000
1309,8 days 00:00:00.000000000
1310,19 days 00:00:00.000000000
1311,3 days 00:00:00.000000000
1312,3 days 00:00:00.000000000
1313,10 days 00:00:00.000000000
1314,4 days 00:00:00.000000000
1315,1 days 00:00:00.000000000
1316,1 days 00:00:00.000000000
1317,10 days 00:00:00.000000000
1318,29 days 00:00:00.000000000
1319,1 days 00:00:00.000000000
1320,1 days 00:00:00.000000000
1321,1 days 00:00:00.000000000
1322,6 days 00:00:00.000000000
1323,7 days 00:00:00.000000000
1324,2 days 00:00:00.000000000
1325,9 days 00:00:00.000000000
1326,34 days 00:00:00.000000000
1327,5 days 00:00:00.000000000
1328,1 days 00:00:00.000000000
1329,11 days 00:00:00.000000000
1330,3 days 00:00:00.000000000
1331,19 days 00:00:00.000000000
1332,10 days 00:00:00.000000000
1333,37 days 00:00:00.000000000
1334,7 days 00:00:00.000000000
1335,1 days 00:00:00.000000000
1336,10 days 00:00:00.000000000
1337,37 days 00:00:00.000000000
1338,1 days 00:00:00.000000000
1339,7 days 00:00:00.000000000
1340,1 days 00:00:00.000000000
1341,1 days 00:00:00.000000000
1342,1 days 00:00:00.000000000
1343,36 days 00:00:00.000000000
1344,32 days 00:00:00.000000000
1345,89 days 00:00:00.000000000
1346,11 days 00:00:00.000000000
1347,6 days 00:00:00.000000000
1348,13 days 00:00:00.000000000
1349,54 days 00:00:00.000000000
1350,89 days 00:00:00.000000000
1351,7 days 00:00:00.000000000
1352,3 days 00:00:00.000000000
1353,90 days 00:00:00.000000000
1354,6 days 00:00:00.000000000
1355,3 days 00:00:00.000000000
1356,36 days 00:00:00.000000000
1357,30 days 00:00:00.000000000
1358,91 days 00:00:00.000000000
1359,36 days 00:00:00.000000000
1360,1 days 00:00:00.000000000
1361,94 days 00:00:00.000000000
1362,91 days 00:00:00.000000000
1363,1 days 00:00:00.000000000
1364,35 days 00:00:00.000000000
1365,36 days 00:00:00.000000000
1366,62 days 00:00:00.000000000
1367,1 days 00:00:00.000000000
1368,11 days 00:00:00.000000000
1369,7 days 00:00:00.000000000
1370,11 days 00:00:00.000000000
1371,36 days 00:00:00.000000000
1372,8 days 00:00:00.000000000
1373,8 days 00:00:00.000000000
1374,8 days 00:00:00.000000000
1375,3 days 00:00:00.000000000
1376,34 days 00:00:00.000000000
1377,34 days 00:00:00.000000000
1378,32 days 00:00:00.000000000
1379,1 days 00:00:00.000000000
1380,35 days 00:00:00.000000000
1381,35 days 00:00:00.000000000
1382,2 days 00:00:00.000000000
1383,31 days 00:00:00.000000000
1384,1 days 00:00:00.000000000
1385,16 days 00:00:00.000000000
1386,62 days 00:00:00.000000000
1387,28 days 00:00:00.000000000
1388,90 days 00:00:00.000000000
1389,30 days 00:00:00.000000000
1390,32 days 00:00:00.000000000
1391,1 days 00:00:00.000000000
1392,34 days 00:00:00.000000000
1393,20 days 00:00:00.000000000
1394,42 days 00:00:00.000000000
1395,3 days 00:00:00.000000000
1396,10 days 00:00:00.000000000
1397,-4 days +00:00:00.000000000
1398,1 days 00:00:00.000000000
1399,7 days 00:00:00.000000000
1400,9 days 00:00:00.000000000
1401,1 days 00:00:00.000000000
1402,12 days 00:00:00.000000000
1403,12 days 00:00:00.000000000
1404,37 days 00:00:00.000000000
1405,8 days 00:00:00.000000000
1406,32 days 00:00:00.000000000
1407,6 days 00:00:00.000000000
1408,2 days 00:00:00.000000000
1409,12 days 00:00:00.000000000
1410,12 days 00:00:00.000000000
1411,3 days 00:00:00.000000000
1412,1 days 00:00:00.000000000
1413,29 days 00:00:00.000000000
1414,31 days 00:00:00.000000000
1415,30 days 00:00:00.000000000
1416,9 days 00:00:00.000000000
1417,34 days 00:00:00.000000000
1418,30 days 00:00:00.000000000
1419,30 days 00:00:00.000000000
1420,30 days 00:00:00.000000000
1421,33 days 00:00:00.000000000
1422,1 days 00:00:00.000000000
1423,1 days 00:00:00.000000000
1424,20 days 00:00:00.000000000
1425,3 days 00:00:00.000000000
1426,7 days 00:00:00.000000000
1427,1 days 00:00:00.000000000
1428,30 days 00:00:00.000000000
1429,30 days 00:00:00.000000000
1430,31 days 00:00:00.000000000
1431,0 days 00:00:00.000000000
1432,22 days 00:00:00.000000000
1433,30 days 00:00:00.000000000
1434,1 days 00:00:00.000000000
1435,30 days 00:00:00.000000000
1436,10 days 00:00:00.000000000
1437,10 days 00:00:00.000000000
1438,10 days 00:00:00.000000000
1439,29 days 00:00:00.000000000
1440,1 days 00:00:00.000000000
1441,33 days 00:00:00.000000000
1442,34 days 00:00:00.000000000
1443,6 days 00:00:00.000000000
1444,1 days 00:00:00.000000000
1445,4 days 00:00:00.000000000
1446,33 days 00:00:00.000000000
1447,6 days 00:00:00.000000000
1448,33 days 00:00:00.000000000
